1,679.789,NO,679.789,,,,,,,,,,,679.789,,,,,,,,,,,,,,,
2,15,NO,6.25,,,7.75,,,1,,,,,15,6.25,,52,8.85,2876,,,,,,,,,,
3,30,NO,23,,,6,,,1,,,,,30,,,,,,,,,,,,,,,
4,80,NO,73.94,,,,,,1.22,4.23,,0.61,,80,,,,,,,,,,,,,,,
5,79.92,NO,34,,,10,,,,35.9,,,,79.9,,,,,,,,,,,,,,,
6,1077.521,NO,862.28,0,0,106.339,0,0,0,60.951,32.03,0,0,1061.6,,,,,,,,,,,,,,,
7,158.299,NO,40,,,,,,,,,,,40,,,,,,,,,,,,,,,
8,14.288,NO,3.5,3.5,,3,,0.43,1,,,,,BLANK,,,,,,,,,,,,,,,
9,11.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,173.42,NO,161.2,,,9.4,,,,2.82,,,,173.42,,,,,,,,,,,,,,,
11,43.378,NO,35,,,6.378,,,1,1,,,,43.378,,,,,,,,,,,,,,,
13,442.042,NO,364.03,,,46.52,,,,11.442,20.05,,,442.042,,,,,,,,,,,,,,,
14,64.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,68.128,NO,44.567,,,20.252,,,,3.309,,,,68.128,,,,,,,,,,,,,,,
16,29.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,340.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,59.337,NO,49.1,,,,,,,5.037,5.2,,,59.337,,,,,,,,,,,,,,,
19,777.644,NO,637.505,3.61,,44.162,,,3.44,33.507,55.42,,,777.644,,,,,,,,,,,,,,,
20,42.77,YES,14.27,,,,,,,,,,,14.27,,,,,,,,,,,,,,,
21,198.15,NO,173.52,,,18.66,,,2,3.97,,,,198.15,,,,,,,,,,,,,,,
22,388.956,NO,351.74,,,26.46,,,,6.876,3.88,,,388.956,,,,,,,,,,,,,,,
23,65.746,NO,40,,,5.389,,,,12.332,,,,57.721,,,,,,,,,,,,,,,
24,11.499,NO,11.019,0,0,0.242,0,0,0,0.238,0,0,0,11.4999,,,,,,,,,,,,,,,
25,35.378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,168.301,NO,131.501,,,,,,,13.61,23.19,,,168.3,,,,,,,,,,,,,,,
27,77.961,NO,75,,,,,,1.1,1.86,,,,77.96,,,,,,,,,,,,,,,
28,70.033,NO,67.563,,,,,,1,1.47,,,,70.033,,,,,,,,,,,,,,,
29,153.62,NO,124,,,26.62,,,,3,,,,153.62,,,,,,,,,,,,,,,
30,18,NO,14,,,,,,4,,,,,18,,,,,,,,,,,,,,,
31,34.789,NO,31,,,2.5,,,,1.289,,,,34.789,,,,,,,,,,,,,,,
32,254.241,NO,238.227,,,2.216,,,1,10.85,1.94,,,254.23,,,,,,,,,,,,,,,
33,125.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,15.613,NO,12,,,,,,,,,,,BLANK,,,,,,,,,,,,,,,
35,73.803,NO,25,37,,,,,,,,,11.803,73.803,,,,,,,,,,,,,,,
36,190.612,NO,151,,,32.9,,,,6.712,,,,190.612,,,,,,,,,,,,,,,
